Run,Step,Network Density,Average Clustering,Number of Active Edges,Successful Projects,Largest Connected Component Size,Resource Node Degree,Gini Coefficient
0,0,0.24761904761904763,0.7422222222222223,26,0,13,0,0.2821959218727431
0,1,0.24761904761904763,0.7422222222222223,26,0,13,0,0.2821959218727431
0,2,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,3,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,4,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,5,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,6,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,7,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,8,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,9,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,10,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,11,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,12,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,13,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,14,0.7238095238095238,0.9151515151515152,76,0,15,0,0.2821959218727431
0,15,0.7619047619047619,0.9184926184926184,80,0,15,0,0.2821959218727431
0,16,0.9428571428571428,0.9509601509601511,99,0,15,0,0.2821959218727431
0,17,0.9523809523809523,0.9561549561549562,100,0,15,0,0.2821959218727431
0,18,0.9714285714285714,0.971883671883672,102,0,15,0,0.2821959218727431
0,19,0.9714285714285714,0.971883671883672,102,0,15,0,0.2821959218727431
0,20,0.9714285714285714,0.971883671883672,102,0,15,0,0.2821959218727431
0,21,0.9714285714285714,0.971883671883672,102,0,15,0,0.2821959218727431
0,22,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,23,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,24,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,25,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,26,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,27,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,28,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,29,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,30,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,31,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
